name,time,value,unit_of_measurement,physical_measurement,subsystem,equipment,logical_id,towards_equipment,direction,control_status,computation_time,computation_interval,deviceId,time_year,time_month,time_dayofmonth
B_MODE,2023-01-21T07:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T08:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T08:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T09:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T09:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T10:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T10:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T11:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T11:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T12:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T12:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T13:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T13:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T14:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T14:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T15:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T15:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T16:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T16:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T17:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T17:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T18:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T18:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T19:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T19:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T20:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T20:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T21:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T21:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T22:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T22:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T23:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T23:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-22T00:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T00:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T01:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T01:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T02:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T02:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T03:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T03:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T04:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T04:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T05:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T05:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
B_MODE,2023-01-22T06:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,22
